"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12"
"1","will","right","power","tax","health","time","develop","secur","nation","peopl","republican","govern"
"2","american","law","govern","busi","educ","one","product","peac","state","great","democrat","feder"
"3","america","protect","upon","job","care","now","industri","forc","polici","freedom","parti","program"
"4","new","act","shall","increas","famili","know","trade","war","unit","countri","presid","system"
"5","work","equal","may","million","provid","just","use","intern","american","everi","year","public"
"6","make","enforc","constitut","cost","children","can","energi","militari","must","men","administr","need"
"7","can","labor","public","worker","school","everi","resourc","will","peopl","nation","congress","privat"
"8","world","civil","state","econom","program","want","land","defens","support","life","first","hous"
"9","futur","citizen","favor","rate","support","mani","market","world","econom","free","made","local"
"10","believ","oppos","interest","economi","need","let","farm","nuclear","foreign","hope","last","must"
